date,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_winter,is_spring,is_summer,is_fall,is_christmas_season,is_easter_season,demand_proxy,day_of_year,temperature_2m_mean,temp_warm,temp_cold,temp_moderate,is_rainy,temperature_2m_mean_lag7,temperature_2m_mean_lag14,temperature_2m_mean_rolling7,sentiment_lag7,sentiment_lag14,sentiment_rolling7,event_count_lag7,event_count_lag14,event_count_rolling7,precipitation_sum,sunshine_duration,event_count,sentiment,pred_random_forest,pred_gradient_boosting,pred_ridge,demand_forecast,forecast_lower,forecast_upper
2026-03-20,4,20,12,3,1,2026,0,0,1,0,0,0,1,48.494481522053555,79,6.166666666666667,0,0,1,0,7.5,4.466666666666667,5.928571428571429,0,0,0,0,0,0,0,0,0,0,44.65602107769984,45.75512151010149,46.89183284154518,45.76765847644884,38.90250970498151,52.632807247916155
2026-03-21,5,21,12,3,1,2026,1,0,1,0,0,0,1,52.60739004816286,80,8.6,0,0,1,0,7.133333333333333,4.366666666666667,6.1380952380952385,0,0,0,0,0,0,0,0,0,0,56.06432873683513,57.14885160635967,58.0825833697946,57.098587904329804,48.533799718680335,65.66337608997927
2026-03-22,6,22,12,3,1,2026,1,0,1,0,0,0,1,56.40077895802646,81,10.1,0,0,1,0,5.666666666666667,4.433333333333334,6.7714285714285705,0,0,0,0,0,0,0,0,0,0,56.862566204487514,58.02039103153547,58.4673130293522,57.783423421791724,49.115909908522966,66.45093693506048
2026-03-23,0,23,13,3,1,2026,0,0,1,0,0,0,1,47.696806145201066,82,10.266666666666666,0,0,1,0,5.966666666666666,3.8666666666666667,7.385714285714286,0,0,0,0,0,0,0,0,0,0,50.68111979715761,50.7856672866049,48.78135035047959,50.0827124780807,42.57030560636859,57.5951193497928
2026-03-24,1,24,13,3,1,2026,0,0,1,0,0,0,1,55.285611131094576,83,9.299999999999999,0,0,1,0,6.166666666666667,5.0,7.833333333333333,0,0,0,0,0,0,0,0,0,0,48.56971974757452,48.58730880579797,48.4539657455558,48.536998099642766,41.25644838469635,55.817547814589176
2026-03-25,2,25,13,3,1,2026,0,0,1,0,0,0,1,51.718091447842305,84,7.266666666666667,0,0,1,0,5.533333333333332,4.566666666666666,8.08095238095238,0,0,0,0,0,0,0,0,0,0,45.66949108191033,46.84932021411355,47.81310837201773,46.77730655601386,39.760710572611785,53.79390253941594
2026-03-26,3,26,13,3,1,2026,0,0,1,0,0,0,1,41.18479922318633,85,7.066666666666666,0,0,1,0,4.866666666666666,5.566666666666666,8.395238095238094,0,0,0,0,0,0,0,0,0,0,46.04709578738126,47.67686625635453,47.72275490077951,47.14890564817176,40.076569800946,54.22124149539752
2026-03-27,4,27,13,3,1,2026,0,0,1,0,0,0,1,51.620419846973974,86,5.5,0,0,1,0,6.166666666666667,7.5,8.299999999999999,0,0,0,0,0,0,0,0,0,0,45.950186776792535,46.34569643574801,47.19586531440605,46.4972495089822,39.52266208263487,53.47183693532953
2026-03-28,5,28,13,3,1,2026,1,0,1,0,0,0,1,58.07458859791842,87,7.066666666666666,0,0,1,0,8.6,7.133333333333333,8.08095238095238,0,0,0,0,0,0,0,0,0,0,56.29818113090625,58.24457598600955,58.010121203763774,57.51762610689318,48.8899821908592,66.14527002292715
2026-03-29,6,29,13,3,1,2026,1,0,1,0,0,0,1,56.61538999847021,88,7.966666666666666,0,0,1,0,10.1,5.666666666666667,7.776190476190477,0,0,0,0,0,0,0,0,0,0,56.19716299252316,58.31960369850459,58.02622559519347,57.51433076207374,48.887181147762675,66.14148037638479
2026-03-30,0,30,14,3,1,2026,0,0,1,0,0,0,1,53.058381444204336,89,8.633333333333333,0,0,1,0,10.266666666666666,5.966666666666666,7.542857142857143,0,0,0,0,0,0,0,0,0,0,45.052427119802275,46.606903234626415,48.48564962538571,46.7149933266048,39.70774432761408,53.722242325595516
2026-03-31,1,31,14,3,1,2026,0,0,1,0,0,0,1,55.154997612479754,90,10.333333333333334,0,0,1,0,9.299999999999999,6.166666666666667,7.69047619047619,0,0,0,0,0,0,0,0,0,0,50.606783009573356,51.08912115091306,48.893526340437084,50.196476833641164,42.66700530859499,57.72594835868733
2026-04-01,2,1,14,4,2,2026,0,0,1,0,0,0,1,54.65640059558099,91,9.299999999999999,0,0,1,0,7.266666666666667,5.533333333333332,7.98095238095238,0,0,0,0,0,0,0,0,0,0,48.33755737479237,47.71595251821354,47.22958027656474,47.761030056523545,40.59687554804501,54.92518456500207
2026-04-02,3,2,14,4,2,2026,0,0,1,0,0,0,1,45.80391238388681,92,8.4,0,0,1,0,7.066666666666666,4.866666666666666,8.171428571428573,0,0,0,0,0,0,0,0,0,0,47.31749722106687,47.521021114732825,46.86936724692336,47.235961860907686,40.15056758177153,54.32135614004383
2026-04-03,4,3,14,4,2,2026,0,0,1,0,0,0,1,48.45393812074393,93,7.599999999999999,0,0,1,0,5.5,6.166666666666667,8.471428571428572,0,0,0,0,0,0,0,0,0,0,47.4134140376601,47.234164454283516,46.66345594488145,47.10367814560836,40.03812642376711,54.169229867449616
2026-04-04,5,4,14,4,2,2026,1,0,1,0,0,0,1,61.65631715701782,94,7.833333333333333,0,0,1,0,7.066666666666666,8.6,8.58095238095238,0,0,0,0,0,0,0,0,0,0,57.10029333987707,57.50761901995727,57.255033582154894,57.28764864732974,48.694501350230276,65.8807959444292
2026-04-05,6,5,14,4,2,2026,1,0,1,0,0,0,1,64.8777256356118,95,6.466666666666666,0,0,1,0,7.966666666666666,10.1,8.366666666666665,0,0,0,0,0,0,0,0,0,0,56.11754440326442,56.21532262810447,56.781492302615675,56.37145311132819,47.915735144628954,64.8271710780274
2026-04-06,0,6,15,4,2,2026,0,0,1,0,0,0,1,47.60412881077355,96,7.166666666666667,0,0,1,0,8.633333333333333,10.266666666666666,8.157142857142857,0,0,0,0,0,0,0,0,0,0,46.61368727472837,48.907175168037234,47.22503181857548,47.58196475378036,40.444670040713305,54.71925946684741
2026-04-07,1,7,15,4,2,2026,0,0,1,0,0,0,1,49.07170511668092,97,8.9,0,0,1,0,10.333333333333334,9.299999999999999,7.952380952380952,0,0,0,0,0,0,0,0,0,0,46.65336515801066,47.340162350781746,47.479255909607645,47.157594472800014,40.08395530188001,54.23123364372001
2026-04-08,2,8,15,4,2,2026,0,0,1,0,0,0,1,44.468325129969855,98,11.033333333333333,0,0,1,0,9.299999999999999,7.266666666666667,8.2,0,0,0,0,0,0,0,0,0,0,50.04172490137164,50.253760815262325,47.93618740303789,49.410557706557285,41.99897405057369,56.822141362540876
2026-04-09,3,9,15,4,2,2026,0,0,1,0,0,0,1,44.01896687959665,99,11.266666666666666,0,0,1,0,8.4,7.066666666666666,8.60952380952381,0,0,0,0,0,0,0,0,0,0,49.981762203648294,50.86654878345234,47.93639930619156,49.5949034310974,42.15566791643279,57.034138945762
